"","rownames","time","value"
"1",1,1949,112
"2",2,1949.08333333333,118
"3",3,1949.16666666667,132
"4",4,1949.25,129
"5",5,1949.33333333333,121
"6",6,1949.41666666667,135
"7",7,1949.5,148
"8",8,1949.58333333333,148
"9",9,1949.66666666667,136
"10",10,1949.75,119
"11",11,1949.83333333333,104
"12",12,1949.91666666667,118
"13",13,1950,115
"14",14,1950.08333333333,126
"15",15,1950.16666666667,141
"16",16,1950.25,135
"17",17,1950.33333333333,125
"18",18,1950.41666666667,149
"19",19,1950.5,170
"20",20,1950.58333333333,170
"21",21,1950.66666666667,158
"22",22,1950.75,133
"23",23,1950.83333333333,114
"24",24,1950.91666666667,140
"25",25,1951,145
"26",26,1951.08333333333,150
"27",27,1951.16666666667,178
"28",28,1951.25,163
"29",29,1951.33333333333,172
"30",30,1951.41666666667,178
"31",31,1951.5,199
"32",32,1951.58333333333,199
"33",33,1951.66666666667,184
"34",34,1951.75,162
"35",35,1951.83333333333,146
"36",36,1951.91666666667,166
"37",37,1952,171
"38",38,1952.08333333333,180
"39",39,1952.16666666667,193
"40",40,1952.25,181
"41",41,1952.33333333333,183
"42",42,1952.41666666667,218
"43",43,1952.5,230
"44",44,1952.58333333333,242
"45",45,1952.66666666667,209
"46",46,1952.75,191
"47",47,1952.83333333333,172
"48",48,1952.91666666667,194
"49",49,1953,196
"50",50,1953.08333333333,196
"51",51,1953.16666666667,236
"52",52,1953.25,235
"53",53,1953.33333333333,229
"54",54,1953.41666666667,243
"55",55,1953.5,264
"56",56,1953.58333333333,272
"57",57,1953.66666666667,237
"58",58,1953.75,211
"59",59,1953.83333333333,180
"60",60,1953.91666666667,201
"61",61,1954,204
"62",62,1954.08333333333,188
"63",63,1954.16666666667,235
"64",64,1954.25,227
"65",65,1954.33333333333,234
"66",66,1954.41666666667,264
"67",67,1954.5,302
"68",68,1954.58333333333,293
"69",69,1954.66666666667,259
"70",70,1954.75,229
"71",71,1954.83333333333,203
"72",72,1954.91666666667,229
"73",73,1955,242
"74",74,1955.08333333334,233
"75",75,1955.16666666667,267
"76",76,1955.25,269
"77",77,1955.33333333334,270
"78",78,1955.41666666667,315
"79",79,1955.5,364
"80",80,1955.58333333334,347
"81",81,1955.66666666667,312
"82",82,1955.75,274
"83",83,1955.83333333334,237
"84",84,1955.91666666667,278
"85",85,1956,284
"86",86,1956.08333333334,277
"87",87,1956.16666666667,317
"88",88,1956.25,313
"89",89,1956.33333333334,318
"90",90,1956.41666666667,374
"91",91,1956.5,413
"92",92,1956.58333333334,405
"93",93,1956.66666666667,355
"94",94,1956.75,306
"95",95,1956.83333333334,271
"96",96,1956.91666666667,306
"97",97,1957,315
"98",98,1957.08333333334,301
"99",99,1957.16666666667,356
"100",100,1957.25,348
"101",101,1957.33333333334,355
"102",102,1957.41666666667,422
"103",103,1957.5,465
"104",104,1957.58333333334,467
"105",105,1957.66666666667,404
"106",106,1957.75,347
"107",107,1957.83333333334,305
"108",108,1957.91666666667,336
"109",109,1958,340
"110",110,1958.08333333334,318
"111",111,1958.16666666667,362
"112",112,1958.25,348
"113",113,1958.33333333334,363
"114",114,1958.41666666667,435
"115",115,1958.5,491
"116",116,1958.58333333334,505
"117",117,1958.66666666667,404
"118",118,1958.75,359
"119",119,1958.83333333334,310
"120",120,1958.91666666667,337
"121",121,1959,360
"122",122,1959.08333333334,342
"123",123,1959.16666666667,406
"124",124,1959.25,396
"125",125,1959.33333333334,420
"126",126,1959.41666666667,472
"127",127,1959.5,548
"128",128,1959.58333333334,559
"129",129,1959.66666666667,463
"130",130,1959.75,407
"131",131,1959.83333333334,362
"132",132,1959.91666666667,405
"133",133,1960,417
"134",134,1960.08333333334,391
"135",135,1960.16666666667,419
"136",136,1960.25,461
"137",137,1960.33333333334,472
"138",138,1960.41666666667,535
"139",139,1960.5,622
"140",140,1960.58333333334,606
"141",141,1960.66666666667,508
"142",142,1960.75,461
"143",143,1960.83333333334,390
"144",144,1960.91666666667,432
